domain,problem,runtime,size,status,jic-limit,trials,forgetpolicy,fullstate,planlocal,partial-planlocal,plan-with-policy,limit-planlocal,detect-deadends,generalize-deadends,online-deadends,optimized-scd,jic time,policy eval,policy creation,policy use,search time,engine time,regression time,simulator time,successful states,replans,actions,policy score,strongly cyclic,succeeded
blocksworld,p11.pddl,0.360000,49,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.270000,0.230000,0.030000,0.140000,0.030000,0.000000,0.000000,0.020000,63,0,63,1.000000,True,100
blocksworld,p11.pddl,0.340000,49,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.250000,0.200000,0.030000,0.120000,0.030000,0.000000,0.000000,0.020000,63,0,63,1.000000,True,100
blocksworld,p11.pddl,0.340000,49,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.250000,0.190000,0.030000,0.140000,0.030000,0.000000,0.000000,0.020000,63,0,63,1.000000,True,100
blocksworld,p11.pddl,0.340000,49,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.250000,0.210000,0.030000,0.120000,0.030000,0.000000,0.000000,0.020000,63,0,63,1.000000,True,100
blocksworld,p11.pddl,0.340000,49,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.250000,0.200000,0.020000,0.170000,0.050000,0.000000,0.000000,0.020000,63,0,63,1.000000,True,100
blocksworld,p11.pddl,0.350000,49,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.270000,0.220000,0.020000,0.100000,0.030000,0.000000,0.000000,0.010000,63,0,63,1.000000,True,100
blocksworld,p11.pddl,0.320000,49,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.230000,0.190000,0.030000,0.170000,0.010000,0.000000,0.000000,0.020000,63,0,63,1.000000,True,100
blocksworld,p12.pddl,0.280000,45,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.200000,0.140000,0.020000,0.090000,0.010000,0.000000,0.000000,0.010000,63,0,63,1.000000,True,100
blocksworld,p12.pddl,0.280000,45,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.200000,0.170000,0.030000,0.090000,0.020000,0.010000,0.000000,0.000000,63,0,63,1.000000,True,100
blocksworld,p12.pddl,0.290000,45,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.200000,0.130000,0.010000,0.150000,0.030000,0.000000,0.000000,0.020000,63,0,63,1.000000,True,100
blocksworld,p12.pddl,0.290000,45,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.210000,0.160000,0.010000,0.100000,0.030000,0.000000,0.000000,0.010000,63,0,63,1.000000,True,100
blocksworld,p12.pddl,0.270000,45,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.180000,0.140000,0.030000,0.090000,0.020000,0.000000,0.000000,0.020000,63,0,63,1.000000,True,100
blocksworld,p12.pddl,0.250000,45,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.190000,0.120000,0.020000,0.100000,0.030000,0.000000,0.000000,0.000000,63,0,63,1.000000,True,100
blocksworld,p12.pddl,0.260000,45,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.180000,0.120000,0.020000,0.080000,0.030000,0.000000,0.000000,0.000000,63,0,63,1.000000,True,100
blocksworld,p12.pddl,0.290000,45,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.200000,0.170000,0.030000,0.110000,0.020000,0.000000,0.000000,0.020000,63,0,63,1.000000,True,100
blocksworld,p12.pddl,0.290000,45,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.220000,0.180000,0.020000,0.150000,0.010000,0.000000,0.000000,0.010000,63,0,63,1.000000,True,100
blocksworld,p12.pddl,0.280000,45,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.190000,0.150000,0.030000,0.080000,0.020000,0.000000,0.000000,0.010000,63,0,63,1.000000,True,100
blocksworld,p13.pddl,0.200000,28,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.140000,0.120000,0.020000,0.080000,0.020000,0.000000,0.000000,0.000000,36,0,36,1.000000,True,100
blocksworld,p13.pddl,0.250000,28,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.160000,0.120000,0.030000,0.070000,0.030000,0.000000,0.000000,0.000000,36,0,36,1.000000,True,100
blocksworld,p13.pddl,0.210000,28,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.120000,0.100000,0.030000,0.060000,0.020000,0.000000,0.000000,0.020000,36,0,36,1.000000,True,100
blocksworld,p13.pddl,0.210000,28,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.140000,0.110000,0.010000,0.070000,0.020000,0.000000,0.000000,0.000000,36,0,36,1.000000,True,100
blocksworld,p13.pddl,0.190000,28,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.130000,0.120000,0.020000,0.020000,0.010000,0.000000,0.000000,0.000000,36,0,36,1.000000,True,100
blocksworld,p13.pddl,0.210000,28,-,18000,100,0,0,1,1,1,1,1,1,1,1,0.140000,0.130000,0.010000,0.070000,0.010000,0.000000,0.000000,0.000000,36,0,36,1.000000,True,100
